CUDA Device Number: 0
Queried Chip : GA102 
Total metrics on the chip 6780
Metric Name                                                                     	Num of Passes  	Collection Method
gr__cycles_idle.max                                                             	1              	HW             
gr__cycles_idle.min                                                             	1              	HW             
gr__cycles_idle.sum                                                             	1              	HW             
gr__cycles_in_frame.avg                                                         	1              	HW             
gr__cycles_in_frame.max                                                         	1              	HW             
gr__cycles_in_frame.min                                                         	1              	HW             
gr__cycles_in_frame.sum                                                         	1              	HW             
gr__cycles_in_region.avg                                                        	1              	HW             
gr__cycles_in_region.max                                                        	1              	HW             
gr__cycles_in_region.min                                                        	1              	HW             
gr__cycles_in_region.sum                                                        	1              	HW             
idc__cycles_active.avg                                                          	1              	HW             
idc__cycles_active.max                                                          	1              	HW             
idc__cycles_active.min                                                          	1              	HW             
idc__cycles_active.sum                                                          	1              	HW             
idc__cycles_elapsed.avg                                                         	1              	HW             
idc__cycles_elapsed.max                                                         	1              	HW             
idc__cycles_elapsed.min                                                         	1              	HW             
idc__cycles_elapsed.sum                                                         	1              	HW             
idc__cycles_in_frame.avg                                                        	1              	HW             
idc__cycles_in_frame.max                                                        	1              	HW             
idc__cycles_in_frame.min                                                        	1              	HW             
idc__cycles_in_frame.sum                                                        	1              	HW             
idc__cycles_in_region.avg                                                       	1              	HW             
idc__cycles_in_region.max                                                       	1              	HW             
idc__cycles_in_region.min                                                       	1              	HW             
idc__cycles_in_region.sum                                                       	1              	HW             
idc__request_cycles_active.avg                                                  	1              	HW             
idc__request_cycles_active.max                                                  	1              	HW             
idc__request_cycles_active.min                                                  	1              	HW             
idc__request_cycles_active.sum                                                  	1              	HW             
idc__request_hit_rate.max_rate                                                  	1              	HW             
idc__request_hit_rate.pct                                                       	1              	HW             
idc__request_hit_rate.ratio                                                     	1              	HW             
idc__requests.avg                                                               	1              	HW             
idc__requests.max                                                               	1              	HW             
idc__requests.min                                                               	1              	HW             
idc__requests.sum                                                               	1              	HW             
idc__requests_lookup_hit.avg                                                    	1              	HW             
idc__requests_lookup_hit.max                                                    	1              	HW             
idc__requests_lookup_hit.min                                                    	1              	HW             
idc__requests_lookup_hit.sum                                                    	1              	HW             
idc__requests_lookup_miss.avg                                                   	1              	HW             
idc__requests_lookup_miss.max                                                   	1              	HW             
idc__requests_lookup_miss.min                                                   	1              	HW             
idc__requests_lookup_miss.sum                                                   	1              	HW             
l1tex__average_t_sectors_per_request.max_rate                                   	1              	HW             
l1tex__average_t_sectors_per_request.pct                                        	4              	HW             
l1tex__average_t_sectors_per_request.ratio                                      	4              	HW             
l1tex__average_t_sectors_per_request_pipe_lsu.max_rate                          	1              	HW             
l1tex__average_t_sectors_per_request_pipe_lsu.pct                               	3              	HW             
l1tex__average_t_sectors_per_request_pipe_lsu.ratio                             	3              	HW             
l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_atom.max_rate       	1              	HW             
l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_atom.pct            	2              	HW             
l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_atom.ratio          	2              	HW             
l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.max_rate         	1              	HW             
l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.pct              	2              	HW             
l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio            	2              	HW             
l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_red.max_rate        	1              	HW             
l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_red.pct             	2              	HW             
l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_red.ratio           	2              	HW             
l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_st.max_rate         	1              	HW             
l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_st.pct              	2              	HW             
l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_st.ratio            	2              	HW             
l1tex__average_t_sectors_per_request_pipe_lsu_mem_local_op_ld.max_rate          	1              	HW             
l1tex__average_t_sectors_per_request_pipe_lsu_mem_local_op_ld.pct               	2              	HW             
l1tex__average_t_sectors_per_request_pipe_lsu_mem_local_op_ld.ratio             	2              	HW             
l1tex__average_t_sectors_per_request_pipe_lsu_mem_local_op_st.max_rate          	1              	HW             
l1tex__average_t_sectors_per_request_pipe_lsu_mem_local_op_st.pct               	2              	HW             
l1tex__average_t_sectors_per_request_pipe_lsu_mem_local_op_st.ratio             	2              	HW             
l1tex__average_t_sectors_per_request_pipe_tex.max_rate                          	1              	HW             
l1tex__average_t_sectors_per_request_pipe_tex.pct                               	4              	HW             
l1tex__average_t_sectors_per_request_pipe_tex.ratio                             	4              	HW             
l1tex__average_t_sectors_per_request_pipe_tex_mem_surface.max_rate              	1              	HW             
l1tex__average_t_sectors_per_request_pipe_tex_mem_surface.pct                   	3              	HW             
l1tex__average_t_sectors_per_request_pipe_tex_mem_surface.ratio                 	3              	HW             
l1tex__average_t_sectors_per_request_pipe_tex_mem_surface_op_atom.max_rate      	1              	HW             
l1tex__average_t_sectors_per_request_pipe_tex_mem_surface_op_atom.pct           	2              	HW             
l1tex__average_t_sectors_per_request_pipe_tex_mem_surface_op_atom.ratio         	2              	HW             
l1tex__average_t_sectors_per_request_pipe_tex_mem_surface_op_ld.max_rate        	1              	HW             
l1tex__average_t_sectors_per_request_pipe_tex_mem_surface_op_ld.pct             	2              	HW             
l1tex__average_t_sectors_per_request_pipe_tex_mem_surface_op_ld.ratio           	2              	HW             
